listing_key,oof_prob,credit_score_computed
330084,0.057205,568
243897,0.058883,567
249702,0.056022,569
365627,0.125888,543
134598,0.068999,562
211695,0.069363,562
284536,0.054697,569
331792,0.233832,521
221405,0.080066,558
100595,0.131594,542
149747,0.139261,540
127872,0.045414,575
415052,0.142687,539
190193,0.033253,584
450426,0.141542,539
350195,0.038338,580
299079,0.257083,518
251585,0.081566,557
318523,0.071881,561
101406,0.212741,525
344213,0.083566,556
278427,0.071459,561
296901,0.070561,562
426516,0.058255,567
354229,0.010146,619
186725,0.06573,564
292958,0.037283,581
381526,0.036162,582
333567,0.145765,538
230340,0.096759,552
192291,0.043153,577
241628,0.060965,566
148840,0.031555,586
275878,0.039667,579
177962,0.044445,576
205985,0.091957,553
135731,0.03772,581
184312,0.042549,577
433533,0.034714,583
185327,0.130323,542
370497,0.105228,549
361607,0.03622,582
252574,0.074948,560
339566,0.078171,558
307316,0.308585,510
141071,0.090604,554
389019,0.091721,553
156792,0.048462,573
300799,0.09017,554
111349,0.064505,564
286021,0.044502,576
454016,0.110708,547
294147,0.027262,590
211166,0.105731,549
340333,0.044709,575
368569,0.104095,549
186278,0.081613,557
174096,0.043925,576
207070,0.040552,578
402491,0.125818,543
372866,0.020949,598
103634,0.054449,569
280530,0.030798,587
388911,0.075584,559
167719,0.164464,534
266878,0.165489,534
232366,0.110033,547
334820,0.091395,553
416233,0.058522,567
187345,0.118594,545
435556,0.122033,544
242684,0.241683,520
115130,0.08317,556
344638,0.092689,553
383631,0.059231,567
376127,0.024623,593
114679,0.026187,591
122540,0.028476,589
287788,0.023505,595
378750,0.093577,553
371351,0.107512,548
273693,0.036973,581
341583,0.10554,549
452217,0.043867,576
189584,0.099595,551
284357,0.003574,650
170543,0.065041,564
207993,0.144667,538
266488,0.055858,569
418155,0.033096,584
326851,0.073589,560
191204,0.236106,521
427542,0.166931,534
253045,0.087847,555
418019,0.116044,546
227092,0.113084,547
129077,0.021172,598
295109,0.013074,612
244448,0.045599,575
181921,0.109195,548
195212,0.054592,569
413808,0.046906,574
178484,0.220712,524
405852,0.056867,568
271851,0.104493,549
124821,0.027591,590
454404,0.075593,559
350419,0.070797,561
455312,0.060107,566
187244,0.094985,552
427960,0.090324,554
411270,0.030077,587
165581,0.12443,543
180498,0.121904,544
208085,0.042983,577
356548,0.064343,564
297889,0.057453,568
114160,0.056463,568
412917,0.277871,515
293381,0.031542,586
200809,0.027718,590
164336,0.108343,548
428186,0.077934,558
304023,0.027322,590
155257,0.043641,576
318650,0.043282,576
392075,0.297319,512
304217,0.144053,539
333825,0.114754,546
282843,0.070952,561
429160,0.108453,548
282580,0.063492,565
120471,0.066769,563
319355,0.053493,570
273032,0.034562,583
446390,0.079782,558
402290,0.084152,556
248420,0.038605,580
379642,0.077947,558
343103,0.090585,554
248535,0.020832,598
109602,0.054352,570
378245,0.167147,533
179788,0.081878,557
250302,0.074739,560
333867,0.070989,561
455977,0.104861,549
328238,0.112901,547
158894,0.067372,563
398951,0.059944,567
186339,0.033094,584
127922,0.035202,583
428134,0.063006,565
280363,0.134921,541
390831,0.070703,561
420817,0.039047,580
238154,0.13532,541
110940,0.134616,541
393076,0.217856,524
393690,0.146777,538
452706,0.023767,594
176047,0.032149,585
329723,0.04812,573
319422,0.124768,543
178457,0.134537,541
406575,0.023551,595
343217,0.047767,573
232840,0.060983,566
288002,0.077184,559
284018,0.165027,534
229080,0.090684,554
260716,0.046792,574
263790,0.096005,552
221567,0.033272,584
162724,0.039909,579
340295,0.104988,549
137497,0.170839,533
449482,0.031477,586
256006,0.019646,600
342110,0.028152,589
205302,0.04496,575
355914,0.063063,565
441473,0.025404,592
453455,0.09391,553
117295,0.18395,530
246391,0.29741,512
207783,0.040314,579
124717,0.014192,609
349659,0.131132,542
200889,0.081177,557
283720,0.042927,577
389704,0.057298,568
387739,0.095141,552
344966,0.042914,577
186656,0.052802,570
382828,0.039346,579
228701,0.055995,569
245161,0.042823,577
168910,0.103491,549
127211,0.032342,585
403264,0.119835,545
388068,0.076761,559
371329,0.079902,558
103912,0.076782,559
380074,0.210167,525
294254,0.142249,539
125315,0.055912,569
279564,0.047004,574
392222,0.064817,564
361755,0.290432,513
317717,0.259055,517
306879,0.030699,587
419062,0.038751,580
417521,0.064909,564
227173,0.084366,556
354126,0.163565,534
157447,0.068276,563
269451,0.089132,554
255856,0.093522,553
297028,0.030062,587
318934,0.093127,553
186149,0.05706,568
282840,0.096825,552
123563,0.034032,584
219844,0.197797,528
244800,0.051439,571
119147,0.079791,558
447006,0.089456,554
233613,0.080298,557
346253,0.051927,571
141316,0.049524,572
361778,0.138961,540
454534,0.078464,558
414237,0.050135,572
154733,0.1111,547
305886,0.156359,536
397822,0.048046,573
191919,0.033636,584
431978,0.147864,538
184298,0.03477,583
449969,0.102246,550
372137,0.06178,566
384723,0.074466,560
209095,0.118969,545
309927,0.165852,534
309670,0.081293,557
442130,0.035783,582
323219,0.081012,557
241438,0.157718,535
278206,0.051027,571
322036,0.034667,583
442894,0.106103,549
302040,0.0715,561
198894,0.098472,551
212942,0.069119,562
281893,0.088963,554
429915,0.152109,537
305740,0.111617,547
404760,0.054827,569
422959,0.074781,560
203602,0.099567,551
289285,0.172732,532
389822,0.095651,552
442551,0.050577,572
225050,0.032676,585
336144,0.110442,547
134721,0.109064,548
445240,0.079633,558
278915,0.028271,589
282918,0.069087,562
253655,0.041727,578
303736,0.05354,570
428339,0.08122,557
167666,0.058026,568
187310,0.11893,545
420715,0.054124,570
105972,0.105389,549
380297,0.091518,553
110423,0.034741,583
380314,0.143542,539
208521,0.040806,578
448777,0.036946,581
437108,0.112585,547
382058,0.065022,564
125526,0.04164,578
324012,0.074087,560
331020,0.084514,556
190991,0.055166,569
296020,0.073728,560
184602,0.256088,518
315321,0.091283,553
394268,0.044521,576
325777,0.100988,550
230482,0.053212,570
455190,0.140081,539
114128,0.124486,543
220752,0.141548,539
223500,0.049448,572
104133,0.056745,568
337309,0.076602,559
420448,0.097881,551
236164,0.074014,560
284227,0.056065,569
176166,0.174886,532
186837,0.03806,580
383805,0.026395,591
139792,0.23574,521
226058,0.064392,564
108842,0.060513,566
362613,0.063742,565
129832,0.036928,581
381058,0.029828,588
357455,0.0414,578
309720,0.16349,534
435037,0.044308,576
207955,0.156104,536
178404,0.065564,564
177369,0.026241,591
284744,0.062922,565
451529,0.033598,584
247830,0.054509,569
309797,0.099687,551
149580,0.278493,515
411122,0.063551,565
267660,0.015643,607
188984,0.133691,541
369313,0.082315,557
339911,0.172205,532
169276,0.032474,585
239911,0.087605,555
137918,0.0866,555
291600,0.08447,556
356469,0.131334,542
435228,0.09066,554
304314,0.089129,554
397126,0.097035,551
409815,0.112449,547
226497,0.170708,533
287560,0.027683,590
163643,0.167705,533
358049,0.100024,551
164411,0.073193,560
305635,0.063185,565
344423,0.088232,555
359009,0.214469,525
225787,0.149953,537
186977,0.054937,569
415354,0.084869,556
267673,0.056143,569
240960,0.08521,556
291772,0.1589,535
256980,0.055279,569
306509,0.074111,560
373119,0.101817,550
380694,0.170222,533
443804,0.106531,548
406550,0.13939,540
360473,0.080252,557
225105,0.154647,536
261494,0.038495,580
200590,0.046582,574
205331,0.144519,538
253741,0.05105,571
344513,0.022922,595
287993,0.200411,527
391520,0.053401,570
169109,0.03047,587
367420,0.050565,572
201107,0.052242,571
188898,0.126686,543
173043,0.04125,578
415711,0.05665,568
409956,0.047091,574
327401,0.050758,572
151245,0.159729,535
103910,0.072775,561
347329,0.10397,549
201163,0.043689,576
174003,0.125533,543
433904,0.061985,566
353324,0.073548,560
244839,0.030067,587
307552,0.049114,573
377547,0.103535,549
356284,0.11857,545
316672,0.10655,548
219266,0.079379,558
352858,0.037697,581
377565,0.159258,535
170915,0.034923,583
251212,0.122111,544
307899,0.061864,566
400808,0.092121,553
349823,0.161329,535
297316,0.027556,590
201004,0.039829,579
376290,0.050125,572
391226,0.05448,569
133191,0.017988,603
231657,0.117841,545
340753,0.046793,574
150014,0.114432,546
143420,0.082883,556
168919,0.092919,553
408964,0.170525,533
287779,0.110566,547
334818,0.029781,588
178967,0.055591,569
301321,0.049714,572
225324,0.049047,573
196416,0.047512,574
247403,0.114493,546
447433,0.140585,539
299427,0.034251,583
367623,0.091639,553
140525,0.101094,550
358839,0.043237,576
418759,0.042443,577
285737,0.051169,571
193837,0.176692,532
276080,0.146662,538
367246,0.05319,570
144551,0.089864,554
308444,0.094538,552
400631,0.052427,571
254052,0.269337,516
175933,0.070403,562
378845,0.064144,564
147825,0.023216,595
225762,0.074937,560
345350,0.11617,546
295702,0.135299,541
192652,0.140845,539
177366,0.124595,543
220427,0.027955,590
211907,0.167505,533
452813,0.039161,579
156749,0.040073,579
257860,0.054453,569
270577,0.042336,577
359914,0.082953,556
286170,0.116108,546
291987,0.113808,546
371617,0.085477,556
302058,0.135163,541
138029,0.04482,575
145076,0.060325,566
356621,0.036802,581
383582,0.044106,576
345621,0.026753,591
286845,0.073482,560
281995,0.032635,585
274194,0.076982,559
330758,0.064908,564
244390,0.052783,570
233868,0.024896,593
210268,0.170963,533
282411,0.054847,569
237519,0.086868,555
170078,0.019816,600
434208,0.087161,555
210160,0.101518,550
372736,0.086491,555
440204,0.059976,567
341459,0.07182,561
407497,0.115553,546
352673,0.076246,559
353739,0.075671,559
167358,0.039551,579
171341,0.058084,568
441820,0.100966,550
183938,0.094122,552
127202,0.061814,566
133955,0.076451,559
447747,0.02901,588
336940,0.058256,567
208829,0.073004,560
146042,0.108427,548
340304,0.064965,564
290294,0.046811,574
207569,0.057818,568
383038,0.052897,570
238442,0.034527,583
306165,0.020092,599
131205,0.044421,576
351400,0.055913,569
310962,0.086175,555
119033,0.015687,607
434947,0.064676,564
253124,0.140087,539
147808,0.040263,579
416424,0.078425,558
264653,0.02898,588
171231,0.093871,553
373851,0.156423,536
357590,0.092581,553
146031,0.042513,577
444733,0.133375,541
244649,0.126633,543
310305,0.091974,553
446936,0.068727,562
346046,0.078176,558
344078,0.158205,535
251329,0.050124,572
199475,0.110431,547
205116,0.040582,578
322635,0.051818,571
115105,0.060971,566
257956,0.048039,573
181886,0.063736,565
151252,0.025087,593
297394,0.086868,555
246588,0.057764,568
404631,0.037587,581
409325,0.097874,551
418365,0.144584,538
240597,0.109553,548
430675,0.088983,554
263583,0.083776,556
133401,0.093444,553
236609,0.104361,549
389491,0.098587,551
331887,0.036142,582
370785,0.085748,555
140585,0.130297,542
109974,0.0519,571
285794,0.030558,587
428275,0.103899,549
221928,0.103127,550
396651,0.064702,564
415884,0.106618,548
244434,0.040631,578
371209,0.183739,530
343154,0.251629,519
424312,0.100877,550
125265,0.049923,572
288053,0.076166,559
363636,0.057306,568
349534,0.077232,559
229865,0.027317,590
355216,0.075669,559
359423,0.024181,594
399815,0.038082,580
225240,0.041636,578
105175,0.203107,527
241586,0.06359,565
222041,0.043685,576
329957,0.085987,555
352087,0.090781,554
444222,0.132773,541
171516,0.036556,582
364242,0.085543,555
372779,0.02191,597
402006,0.068936,562
272975,0.045891,575
142666,0.076849,559
281432,0.040459,578
250393,0.049109,573
422134,0.043101,577
233143,0.070007,562
398083,0.052688,570
141453,0.235116,521
275092,0.078929,558
100274,0.096748,552
401019,0.103291,549
167107,0.049069,573
368497,0.142892,539
155168,0.058833,567
223188,0.031514,586
323126,0.168726,533
327694,0.051618,571
316387,0.062387,565
128916,0.03906,580
353255,0.136841,540
178061,0.068355,562
416837,0.391948,500
143608,0.08093,557
237147,0.059918,567
344725,0.037358,581
366249,0.044832,575
417492,0.078799,558
429031,0.036423,582
270472,0.032339,585
110849,0.105347,549
138320,0.063137,565
354366,0.03755,581
213719,0.14195,539
341978,0.054322,570
235582,0.326031,508
234275,0.076857,559
407331,0.097935,551
289524,0.050822,572
250021,0.055636,569
454025,0.02293,595
373252,0.077878,558
109800,0.029328,588
326664,0.077447,559
425566,0.010254,619
111292,0.118284,545
288995,0.044483,576
384252,0.056975,568
415062,0.070453,562
205047,0.097171,551
431707,0.030593,587
439130,0.043145,577
451007,0.14927,537
226744,0.072473,561
404037,0.130771,542
229307,0.102069,550
235710,0.068176,563
103873,0.050233,572
352452,0.171905,532
440167,0.10511,549
171936,0.046686,574
375441,0.106631,548
146980,0.036169,582
235540,0.084526,556
120601,0.040998,578
117719,0.034811,583
394229,0.04109,578
310349,0.06485,564
192718,0.042866,577
278916,0.033512,584
356672,0.079777,558
176691,0.087337,555
342469,0.144066,539
413515,0.13542,541
136227,0.166707,534
119094,0.07351,560
408850,0.119719,545
164406,0.096401,552
156222,0.109828,547
253893,0.094992,552
365606,0.015319,607
438688,0.109111,548
138550,0.037155,581
351310,0.020692,598
230088,0.060438,566
263979,0.034188,584
338200,0.041521,578
307476,0.103558,549
411310,0.056168,569
272803,0.15004,537
283659,0.266254,516
282798,0.043538,576
289373,0.043696,576
318463,0.045489,575
304969,0.058306,567
232280,0.110899,547
342197,0.066192,563
264215,0.029171,588
119489,0.048998,573
452884,0.052102,571
172772,0.174334,532
193555,0.060559,566
430018,0.02168,597
296461,0.278477,515
442148,0.068734,562
126192,0.030604,587
286097,0.080569,557
241009,0.047743,573
372958,0.038546,580
130324,0.07163,561
155414,0.119405,545
124118,0.022393,596
386182,0.062845,565
381832,0.083935,556
449430,0.081837,557
136528,0.101514,550
212188,0.116453,546
318162,0.049143,573
147385,0.216351,524
105279,0.051974,571
416401,0.048554,573
223850,0.194976,528
120559,0.062818,565
285826,0.033938,584
289474,0.201767,527
278136,0.027512,590
195001,0.026867,591
374408,0.023006,595
360525,0.069636,562
244715,0.02484,593
299795,0.049827,572
139646,0.053429,570
374694,0.105656,549
295451,0.15197,537
410767,0.063839,565
297930,0.090232,554
199541,0.119649,545
180824,0.091044,554
250441,0.22732,522
237066,0.069491,562
165157,0.138169,540
287782,0.052083,571
151638,0.111639,547
153731,0.030681,587
397133,0.147691,538
119389,0.201323,527
353546,0.049323,572
436995,0.069501,562
395044,0.049005,573
234767,0.112291,547
115792,0.031212,586
370080,0.050964,572
268966,0.10019,550
341119,0.137307,540
448766,0.045296,575
267371,0.129969,542
433423,0.289691,513
248518,0.055546,569
232831,0.058404,567
322410,0.02376,594
351826,0.092707,553
321748,0.053564,570
384271,0.012169,614
442631,0.036841,581
112776,0.046597,574
261262,0.069716,562
175928,0.08735,555
108696,0.116641,546
154581,0.075508,559
191757,0.076064,559
272165,0.116119,546
432664,0.060289,566
283631,0.058806,567
168626,0.110819,547
382515,0.052727,570
203962,0.035809,582
193525,0.009787,620
173519,0.063388,565
361437,0.052991,570
220659,0.034866,583
352348,0.121592,544
268942,0.065648,564
439007,0.082342,557
338986,0.031681,586
104444,0.066231,563
273666,0.082221,557
436320,0.139535,540
100813,0.063361,565
277883,0.066528,563
437634,0.053956,570
403898,0.071591,561
297374,0.076329,559
332600,0.049954,572
242130,0.045773,575
332249,0.079515,558
331954,0.072545,561
219214,0.012273,614
236483,0.106827,548
440679,0.041875,577
259744,0.087223,555
423382,0.050917,572
152412,0.053541,570
240033,0.073619,560
185134,0.115999,546
143501,0.042874,577
196451,0.069442,562
273056,0.084317,556
216030,0.124639,543
252622,0.026533,591
185734,0.087087,555
182316,0.045612,575
282776,0.029745,588
257879,0.122539,544
251817,0.013045,612
258108,0.019795,600
255445,0.126052,543
222978,0.084375,556
174047,0.040872,578
174014,0.14493,538
441003,0.082641,557
302662,0.039969,579
181039,0.068933,562
212361,0.041853,577
108031,0.126206,543
299707,0.067497,563
225994,0.051256,571
364802,0.090774,554
124918,0.159895,535
331252,0.107037,548
246670,0.08075,557
283554,0.115042,546
422188,0.040078,579
106380,0.104226,549
250478,0.07268,561
308710,0.348491,505
300350,0.144485,538
361640,0.050261,572
211972,0.266789,516
240509,0.08644,555
382288,0.050867,572
121188,0.0579,568
148878,0.065725,564
134439,0.054409,570
433120,0.082144,557
206204,0.08078,557
449666,0.050871,572
240946,0.039969,579
266401,0.034589,583
341819,0.065008,564
449285,0.059725,567
248550,0.025842,592
276923,0.031108,586
145299,0.049506,572
382467,0.17282,532
138729,0.081367,557
239115,0.082311,557
145037,0.058327,567
441020,0.073462,560
378418,0.038727,580
145433,0.049211,573
429963,0.064004,565
413880,0.059428,567
149244,0.1555,536
340538,0.03194,586
417078,0.038867,580
267245,0.086552,555
439577,0.034034,584
424665,0.036062,582
194114,0.152786,537
424685,0.040096,579
141541,0.091836,553
301904,0.033668,584
301071,0.084701,556
253433,0.077297,559
214423,0.073717,560
372767,0.279114,515
250208,0.090901,554
175592,0.06611,564
153237,0.086657,555
443121,0.045753,575
317680,0.317723,509
421214,0.060815,566
387278,0.089731,554
266667,0.057063,568
310481,0.053321,570
329394,0.093357,553
415827,0.0458,575
376304,0.076918,559
101716,0.141609,539
109053,0.053676,570
321946,0.141674,539
243492,0.065453,564
135154,0.045252,575
141151,0.074454,560
420588,0.014839,608
367891,0.059744,567
428214,0.093214,553
140758,0.103484,549
175134,0.085314,556
234332,0.096788,552
249324,0.016791,605
326296,0.072093,561
120249,0.059514,567
215422,0.134126,541
127772,0.042929,577
361030,0.196918,528
290520,0.008669,624
400798,0.055161,569
302435,0.032395,585
115355,0.218355,524
435920,0.215671,524
239601,0.096724,552
223775,0.144336,538
345944,0.033579,584
217584,0.087666,555
177375,0.044869,575
273061,0.193051,528
216815,0.115733,546
444692,0.087153,555
339093,0.084766,556
351287,0.127031,543
419715,0.032695,585
215065,0.056594,568
121693,0.061201,566
417171,0.08211,557
341602,0.095669,552
201971,0.159809,535
377470,0.087398,555
438988,0.072554,561
395475,0.096209,552
159847,0.103998,549
421945,0.193528,528
322211,0.135678,541
207409,0.070814,561
349150,0.099791,551
170531,0.184391,530
362976,0.123544,544
297582,0.077246,559
123333,0.043156,577
368409,0.069419,562
358277,0.049577,572
443311,0.235351,521
276810,0.043345,576
442712,0.051037,571
437915,0.107564,548
207473,0.133232,541
162550,0.064288,564
264842,0.04682,574
112977,0.13249,541
298796,0.037348,581
305536,0.265497,516
435038,0.040568,578
309714,0.020868,598
118028,0.104453,549
354991,0.020722,598
139836,0.038898,580
155943,0.061379,566
316461,0.05176,571
181434,0.076558,559
267278,0.132366,541
383776,0.084893,556
249679,0.115763,546
101740,0.03387,584
444095,0.073283,560
412929,0.133248,541
340658,0.054871,569
339215,0.176472,532
255402,0.094279,552
161864,0.018943,601
384178,0.106198,549
218200,0.179815,531
260544,0.101623,550
252703,0.020486,599
395223,0.099497,551
268309,0.188901,529
399902,0.135107,541
125696,0.018658,601
423449,0.078355,558
194504,0.222325,523
239753,0.041091,578
456134,0.032593,585
232292,0.046193,574
386291,0.033735,584
333767,0.216519,524
233649,0.156797,536
437219,0.080675,557
199652,0.068567,562
203294,0.042587,577
290684,0.10975,548
134459,0.037546,581
278635,0.048192,573
389506,0.053791,570
253582,0.036828,581
286636,0.081157,557
363206,0.07051,562
398245,0.034449,583
260318,0.098857,551
235449,0.06953,562
116658,0.072578,561
416600,0.050876,572
139772,0.030109,587
410483,0.056553,568
450974,0.154845,536
429320,0.041883,577
314750,0.078641,558
165531,0.014527,609
449909,0.041285,578
269564,0.044765,575
331490,0.034344,583
239543,0.028059,589
308437,0.091523,553
450521,0.016813,605
216101,0.044417,576
391459,0.172871,532
141725,0.026554,591
130049,0.034679,583
152018,0.036554,582
124062,0.025447,592
255101,0.050065,572
232405,0.084222,556
126585,0.070758,561
154382,0.089259,554
126746,0.188523,529
434636,0.064154,564
200381,0.024368,594
348791,0.034551,583
244336,0.02223,596
252308,0.129463,542
386019,0.162223,534
370151,0.042669,577
331221,0.032401,585
183769,0.059613,567
277785,0.16039,535
176863,0.040703,578
122117,0.101519,550
388018,0.078573,558
286252,0.065477,564
299331,0.079881,558
351086,0.161405,535
402058,0.178025,531
364331,0.132278,541
120389,0.107527,548
243984,0.032922,585
188845,0.117933,545
391155,0.043424,576
452808,0.159336,535
163034,0.053599,570
383052,0.080835,557
272866,0.051479,571
108879,0.025496,592
248365,0.062395,565
387411,0.031413,586
204429,0.120792,544
425692,0.019451,600
173125,0.107664,548
264497,0.04555,575
277714,0.122322,544
438396,0.259653,517
322290,0.050044,572
369806,0.139157,540
126011,0.02295,595
417033,0.04696,574
328594,0.03152,586
323295,0.067059,563
109755,0.073626,560
455199,0.039526,579
129590,0.046533,574
133642,0.072619,561
215448,0.009553,621
189004,0.032036,585
